time (s)	coil I (A)	last det (V)	int current (uC)
69828.661501	0.203696	-283.789062	164.062500
69828.665502	0.202842	2.231262	1.215217
69829.685489	0.202946	-296.679687	-118.945312
69829.687492	0.202908	2.231989	1.364839
69830.741528	0.202304	-286.621094	156.152344
69830.743531	0.201381	2.215186	1.227417
69831.766093	0.203533	-297.851562	-117.285156
69831.768095	0.202641	2.229056	1.356023
69832.822159	0.204247	-286.132812	159.082031
69832.824160	0.203636	2.239992	1.228874
69833.846180	0.204208	-301.757812	-115.136719
69833.848181	0.203701	2.240710	1.357708
69834.904223	0.201958	-285.449219	160.742187
69834.906225	0.201200	2.213201	1.268337
69835.926278	0.189202	-299.121094	-117.382812
69835.928280	0.201990	-299.121094	-117.382812
69835.930280	0.201205	2.213254	1.361109
69836.984296	0.205690	-284.765625	158.398437
69836.986302	0.204726	2.251982	1.224004
69838.008348	0.205090	-296.093750	-118.457031
69838.010350	0.204134	2.245478	1.379894
69839.072446	0.201654	-281.054687	165.722656
69839.074448	0.202507	2.227576	1.234956
69840.090449	0.201640	-291.699219	-122.265625
69840.092456	0.201028	2.211305	1.377576
69841.156457	0.202246	-277.148437	169.921875
69841.158459	0.201696	2.218651	1.221152
69842.178446	0.202537	-287.695312	-126.074219
69842.180449	0.201737	2.219103	1.404799
69843.233399	0.182895	-271.972656	173.242187
69843.235398	0.202562	-271.972656	173.242187
69843.237401	0.202525	2.227771	1.208171
69844.260333	0.201416	-298.339844	-118.750000
69844.262336	0.200777	2.208548	1.398854
69845.306900	0.203842	-268.652344	171.972656
69845.308902	0.202976	2.232733	1.216330
69846.340939	0.202585	-300.488281	-116.503906
69846.342938	0.201900	2.220902	1.398636
69847.386944	0.191840	-264.746094	177.050781
69847.388946	0.201974	-264.746094	177.050781
69847.390946	0.201248	2.213733	1.217932
69848.428958	0.202352	-293.164062	-122.558594
69848.430959	0.201467	2.216135	1.392920
69849.463038	0.202092	-265.527344	174.218750
69849.465039	0.201515	2.216666	1.230684
69850.517581	0.204446	-291.113281	-123.437500
69850.519583	0.203555	2.239105	1.409100
69851.541619	0.202421	-265.039062	179.882812
69851.543621	0.201472	2.216188	1.267889
69852.597682	0.202922	-287.890625	-124.902344
69852.601681	0.201659	2.218244	1.371814
69853.622591	0.202798	-266.113281	180.859375
69853.624593	0.201970	2.221673	1.291072
69854.686601	0.203335	-286.523437	-125.000000
69854.688604	0.202842	2.231262	1.386642
69855.695502	0.202517	-269.921875	174.902344
69855.697503	0.201765	2.219414	1.301168
69856.767568	0.203907	-293.750000	-118.554687
69856.769569	0.203912	2.243032	1.367384
69857.783578	0.204179	-270.507812	176.464844
69857.785580	0.203183	2.235011	1.335374
69858.849594	0.202433	-291.992187	-120.019531
69858.851598	0.201697	2.218669	1.407127
69859.855599	0.203471	-273.632812	170.605469
69859.857601	0.203832	2.242154	1.323140
69860.931643	0.201692	-302.343750	-111.523437
69860.933644	0.201149	2.212634	1.315742
69861.939645	0.201659	-275.781250	170.214844
69861.941648	0.201156	2.212714	1.363597
69863.019698	0.202865	-285.449219	-125.000000
69863.021700	0.202170	2.223871	1.337269
69864.025741	2.240125	-276.660156	170.507812
69864.027743	0.202938	2.232317	1.362525
69865.099795	0.202763	-293.359375	-120.019531
69865.101796	0.201965	2.221620	1.369859
69866.105800	0.197770	-277.929687	169.433594
69866.107802	0.203249	-277.929687	169.433594
69866.109804	0.202583	2.228409	1.371224
69867.181830	0.201724	-298.046875	-116.796875
69867.183831	0.201199	2.213192	1.359542
69868.186379	0.190629	-280.371094	163.378906
69868.188380	0.203093	-280.371094	163.378906
69868.190381	0.202339	2.225724	1.383845
69869.264391	0.200594	-298.046875	-116.894531
69869.266392	0.200235	2.202584	1.361525
69870.270893	0.201662	-279.394531	166.308594
69870.272894	0.201277	2.214052	1.406158
69871.343459	0.201848	-300.488281	-115.136719
69871.347461	0.200829	2.209124	1.359813
69872.348421	0.203259	-278.613281	166.210937
69872.350424	0.203470	2.238175	1.392134
69873.424989	0.202232	-299.218750	-116.406250
69873.426992	0.201708	2.218793	1.371863
69874.429555	0.203392	-276.171875	171.093750
69874.431557	0.202420	2.226619	1.351643
69875.503605	0.203924	-298.046875	-116.796875
69875.505608	0.203052	2.233575	1.374638
69876.510148	0.204232	-274.121094	175.195312
69876.512150	0.203587	2.239460	1.336616
69877.586183	0.202355	-297.070312	-116.992187
69877.588188	0.201823	2.220052	1.383173
69878.590709	0.203011	-273.437500	173.437500
69878.592711	0.203208	2.235286	1.339373
69879.666767	0.202215	-295.312500	-118.847656
69879.668768	0.201626	2.217889	1.408200
69880.673308	0.203220	-272.656250	172.070312
69880.675308	0.202619	2.228807	1.364135
69881.745876	0.202634	-282.226562	-128.906250
69881.747879	0.201863	2.220495	1.427202
69882.761878	0.203002	-267.578125	181.738281
69882.763878	0.202246	2.224704	1.389649
69883.825921	0.205145	-286.425781	-126.757812
69883.827923	0.204169	2.245859	1.439408
69884.849935	0.203294	-264.843750	185.937500
69884.857936	0.201017	2.211189	1.275601
69885.899973	0.204284	-283.203125	-130.761719
69885.901976	0.203661	2.240267	1.439605
69886.931975	0.202776	-268.164062	177.441406
69886.933980	0.202093	2.223021	1.281210
69887.982013	0.202426	-289.257812	-126.757812
69887.984015	0.201861	2.220468	1.472908
69889.020535	0.202774	-268.554687	178.320312
69889.022535	0.202010	2.222108	1.310974
69890.062620	0.203199	-278.320312	-135.253906
69890.064622	0.202772	2.230491	1.495607
69891.100627	0.202991	-272.265625	173.339844
69891.102629	0.202095	2.223047	1.276656
69892.131581	0.190039	-297.265625	-120.312500
69892.133581	0.202501	-297.265625	-120.312500
69892.135584	0.201871	2.220583	1.451262
69893.189618	0.208549	-277.050781	169.726562
69893.193619	0.206957	2.276531	1.309141
69894.213647	0.203806	-289.355469	-125.878906
69894.215650	0.202890	2.231785	1.505325
69895.269686	0.202264	-283.496094	160.058594
69895.271687	0.202038	2.222418	1.362008
69896.294617	0.202493	-290.625000	-124.511719
69896.296616	0.201630	2.217925	1.520255
69897.350688	0.204233	-286.035156	162.011719
69897.356688	0.202409	2.226495	1.409777
69898.376737	0.202189	-286.621094	-127.636719
69898.378738	0.201600	2.217597	1.535663
69899.430765	0.193924	-289.843750	159.179687
69899.432768	0.202085	-289.843750	159.179687
69899.434768	0.201378	2.215160	1.383057
69900.454812	0.196533	-296.386719	-122.656250
69900.460814	0.201982	-296.386719	-122.656250
69900.462817	0.201556	2.217118	1.513862
69901.512847	0.202805	-292.675781	155.664062
69901.514848	0.201960	2.221558	1.398561
69902.536856	0.203738	-293.847656	-126.562500
69902.538857	0.202898	2.231883	1.534332
69903.592988	0.203608	-291.601562	160.351562
69903.594991	0.202721	2.229933	1.374220
69904.624996	0.202747	-289.257812	-128.808594
